ID,Type,UGS,"GTIN, UPC, EAN ou ISBN",Nom,Publié,"Mis en avant ?","Visibilité dans le catalogue","Description courte",Description,"Date de début de promo","Date de fin de promo","État de la TVA","Classe de TVA","En stock ?",Stock,"Montant de stock faible","Autoriser les commandes de produits en rupture ?","Vendre individuellement ?","Poids (g)","Longueur (cm)","Largeur (cm)","Hauteur (cm)","Autoriser les avis clients ?","Note de commande","Tarif promo","Tarif régulier",Catégories,Étiquettes,"Classe d’expédition",Images,"Limite de téléchargement","Jours d’expiration du téléchargement",Parent,"Groupes de produits","Produits suggérés","Ventes croisées","URL externe","Libellé du bouton",Position,Marques
17900,simple,,,"A-Derma Biology AC Hydra Creme 40ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,147.00,220.50,"Visage > Soin Visage, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/A-Derma-Biology-AC-Hydra-Creme-40ml.jpg,,,,,,,,,0,A-Derma
17901,simple,,,"A-Derma Cytelium Spray 100ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,120.40,180.60,"Corps, Corps > Soin Corps",,,https://paralbl.ma/wp-content/uploads/2026/03/A-Derma-Cytelium-Spray-100ml.png,,,,,,,,,0,A-Derma
17902,simple,,,"A-Derma Dermalibour+ Cica Creme Reparatrice 50ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,114.80,172.20,"Visage > Soin Visage, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/A-Derma-Dermalibour-Cica-Creme-Reparatrice-50ml.webp,,,,,,,,,0,A-Derma
17903,simple,,,"A-Derma Epitelheliale A.H Ultra 40ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,122.50,183.75,"Visage > Soin Visage, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/A-Derma-Epitelheliale-A.H-Ultra-40ml.webp,,,,,,,,,0,A-Derma
17904,simple,,,"A-Derma Exomega Control Baume Emolliente 200ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,229.60,344.40,"Corps, Corps > Hydratation Corps",,,https://paralbl.ma/wp-content/uploads/2026/03/A-Derma-Exomega-Control-Baume-Emolliente-200ml.jpeg,,,,,,,,,0,A-Derma
17905,simple,,,"A-Derma Exomega Control Creme Emolliente 200ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,221.20,331.80,"Corps, Corps > Hydratation Corps",,,https://paralbl.ma/wp-content/uploads/2026/03/A-Derma-Exomega-Control-Creme-Emolliente-200ml.jpg,,,,,,,,,0,A-Derma
17906,simple,,,"A-Derma Exomega Control Huile Lavante Emolliente 200ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,90.30,135.45,"Corps, Corps > Nettoyant Corps",,,https://paralbl.ma/wp-content/uploads/2026/03/A-Derma-Exomega-Control-Huile-Lavante-Emolliente-200ml.jpeg,,,,,,,,,0,A-Derma
17907,simple,,,"A-Derma Exomega Control Huile Lavante Emolliente 500ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,180.60,270.90,"Corps, Corps > Nettoyant Corps",,,https://paralbl.ma/wp-content/uploads/2026/03/A-Derma-Exomega-Control-Huile-Lavante-Emolliente-500ml.jpg,,,,,,,,,0,A-Derma
17908,simple,,,"A-Derma Pain Dermatologique Lait D'avoine 100g",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,72.10,108.15,"Corps, Corps > Nettoyant Corps",,,https://paralbl.ma/wp-content/uploads/2026/03/A-Derma-Pain-Dermatologique-Lait-Davoine-100g.webp,,,,,,,,,0,A-Derma
17909,simple,,,"A-Derma Pain Surgras 100g",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,57.40,86.10,"Visage > Nettoyants & Démaquillants, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/A-Derma-Pain-Surgras-100g.webp,,,,,,,,,0,A-Derma
17910,simple,,,"Accu-Chek bandelette 50",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,173.00,259.50,"Santé & Bien être > Premiers secours, Santé & Bien être",,,https://paralbl.ma/wp-content/uploads/2026/03/Accu-Chek-bandelette-50.png,,,,,,,,,0,Accu-Chek
